Organization Name,Organization Name URL,Contact Email,Website,Founders,Company Type
Citi,https://www.crunchbase.com/organization/citigroup,,https://www.citigroup.com,Sanford Weill,For Profit
UBS,https://www.crunchbase.com/organization/ubs,mediarelations@ubs.com,https://www.ubs.com,Carlos Virella,For Profit
Perplexity AI,https://www.crunchbase.com/organization/perplexity-ai,support@perplexity.ai,https://www.perplexity.ai,"Andy Konwinski, Aravind Srinivas, Denis Yarats, Gaurav Agarwal, Johnny Ho",For Profit
Bristol Myers Squibb,https://www.crunchbase.com/organization/bristol-myers-squibb,,http://www.bms.com,"E. R. Squibb, John Ripley Myers, William McLaren Bristol",For Profit
ElevenLabs,https://www.crunchbase.com/organization/elevenlabs,press@elevenlabs.io,http://elevenlabs.io,"Mati Staniszewski, Piotr Dabkowski",For Profit
Sanofi,https://www.crunchbase.com/organization/sanofi,customersupport@sanofi.com,https://www.sanofi.com,"Carlos Virella, Jean-François Dehecq, Jean-René Sautier",For Profit
NVIDIA,https://www.crunchbase.com/organization/nvidia,info@nvidia.com,https://www.nvidia.com,"Chris Malachowsky, Curtis Priem, Jensen Huang",For Profit
KeyBank,https://www.crunchbase.com/organization/keycorp,,https://www.key.com,Samuel H. Mather,For Profit
HDFC Bank,https://www.crunchbase.com/organization/hdfc-bank,,https://www.hdfcbank.com,Hasmukhbhai Parekh,For Profit
Vicarius,https://www.crunchbase.com/organization/vicarius,info@vicarius.io,https://vicarius.io,"Michael Assraf, Roi Cohen, Yossi Zeevi",For Profit
SoftBank,https://www.crunchbase.com/organization/softbank,pr@softbank.co.jp,https://group.softbank,"Masayoshi Son, Oketani Taku",For Profit
ABB,https://www.crunchbase.com/organization/abb,contact.center@ch.abb.com,https://global.abb/group/en,,For Profit
IP Group,https://www.crunchbase.com/organization/ip-group-plc,media@ipgroupplc.com,http://www.ipgroupplc.com,David Norwood,For Profit
Netflix,https://www.crunchbase.com/organization/netflix,,https://www.netflix.com,"Jim Cook, Marc Randolph, Reed Hastings",For Profit
PayPal,https://www.crunchbase.com/organization/paypal,spoof@paypal.com,https://www.paypal.com/home,"Elon Musk, Ken Howery, Luke Nosek, Max Levchin, Peter Thiel",For Profit
Snap,https://www.crunchbase.com/organization/Snapchat,,https://www.snap.com,"Bobby Murphy, Evan Spiegel, Reggie Brown",For Profit
Kore.ai,https://www.crunchbase.com/organization/kore-ai,info@kore.ai,https://kore.ai,Raj Koneru,For Profit
DailyPay,https://www.crunchbase.com/organization/dailypay-inc,press@dailypay.com,https://www.dailypay.com,"Jason Lee, Robert Law",For Profit
Gallagher,https://www.crunchbase.com/organization/arthur-j-gallagher-co,,http://www.ajg.com,Arthur J. Gallagher,For Profit
Ericsson,https://www.crunchbase.com/organization/ericsson,asq@ericsson.com,https://www.ericsson.com,Lars Magnus Ericsson,For Profit
SAP,https://www.crunchbase.com/organization/sap,sapnetwork@sap.com,https://www.sap.com,"Andreas Neumeier, Claus Wellenreuther, Dietmar Hopp, Hans-Werner Hector, Hasso Plattner, Klaus Tschira",For Profit
CIBC,https://www.crunchbase.com/organization/canadian-imperial-bank-of-commerce,commercial.care@cibc.com,https://www.cibc.com,"Aadil Khan, Rohit Kumar, Sanjay Yadav, William McMaster",For Profit
